category,blocked-matmul-retired,blocked-matmul-% retired,blocked-matmul-in program,blocked-matmul-% in program,blocked-matmul-with-8-regs-retired,blocked-matmul-with-8-regs-% retired,blocked-matmul-with-8-regs-in program,blocked-matmul-with-8-regs-% in program,gcc-queens-retired,gcc-queens-% retired,gcc-queens-in program,gcc-queens-% in program,gull-retired,gull-% retired,gull-in program,gull-% in program,gull-with-8-regs-retired,gull-with-8-regs-% retired,gull-with-8-regs-in program,gull-with-8-regs-% in program,linear-solve-retired,linear-solve-% retired,linear-solve-in program,linear-solve-% in program,linear-solve-with-8-regs-retired,linear-solve-with-8-regs-% retired,linear-solve-with-8-regs-in program,linear-solve-with-8-regs-% in program,queens-retired,queens-% retired,queens-in program,queens-% in program,queens-with-8-regs-retired,queens-with-8-regs-% retired,queens-with-8-regs-in program,queens-with-8-regs-% in program
unknown/ignored instructions,24,1.519776484942451e-07,22,0.005508110692995435,24,1.5186676549258064e-07,22,0.005508496856400999,15279,0.006293502668413826,165,0.003320875020378097,56,1.2600347451430886e-06,51,0.007998858202201725,56,1.1621744872301303e-06,51,0.007955114436660912,92,9.890494104853768e-06,63,0.005402920664542089,92,9.367585457470755e-06,63,0.005401618942363011,24,3.365977263378972e-06,22,0.005508400310473472,24,3.2290919615400454e-06,22,0.005508331351168643
total instructions,15791795834,99.99999984802236,399411,100.0,15803325952,99.99999984813323,399383,100.0,242758909,99.99370649733159,4968570,100.0,4444321834,99.99999873996525,637591,100.0,4818553493,99.99999883782552,641097,100.0,930185994,99.9999901095059,1166036,100.0,982109977,99.99999063241454,1166317,100.0,713017270,99.99999663402274,399390,100.0,743242977,99.99999677090804,399395,100.0
non-mov instructions with two operands,10837155481,68.62522526537083,156498,39.182195783290894,10840295016,68.59502254438594,156497,39.1846923880085,104209475,42.92444590526238,1490609,30.00076480758045,2242189511,50.45065516170342,271367,42.56129713248775,2244974466,46.59021515836225,271691,42.37907836099686,788218117,84.73768086442867,508992,43.65148245851758,829516041,84.46263480880776,508973,43.63933647541792,394464460,55.323266815461004,156481,39.17999949923634,394538158,53.08333310494235,156480,39.179258628675875
non-mov instructions with two register operands,6478140684,41.02219115705086,59873,14.990323250987078,3255866612,20.602413801655292,59865,14.989371104929354,33951674,13.984877996996946,586687,11.807964867154936,1017592633,22.896465606814992,113176,17.75056423318397,862069720,17.89063276424325,111889,17.452741160853975,363582993,39.087124444473794,195966,16.80617064996278,361497363,36.80823304948725,195869,16.793804771773026,78403019,10.995949138927898,59867,14.989609153959789,78403009,10.548771921768827,59863,14.988419985227656
register-to-register unconditional movs,1092631167,6.918979809674285,31647,7.923417231873934,18886253,0.11950808980768948,31632,7.920216934621654,19519946,8.040371244079704,527012,10.606915068118191,376512109,8.471756059055389,43552,6.830711223966461,299715007,6.220020260274999,42427,6.617875298121813,12360546,1.3288250798453676,75703,6.492338143933806,12312842,1.2537130397753817,75592,6.481256810969916,13902468,1.9498079663689054,31636,7.921079646460853,13902466,1.8705142169243245,31636,7.920980482980508
register-to-register conditional movs,230,1.4564524647365158e-06,1330,0.33299032825836045,230,1.4553898359705644e-06,1330,0.3330136735915149,503185,0.2072646207347216,9900,0.1992525012226858,71446903,1.6075996466583566,2062,0.32340481593999915,65396760,1.3571865360627124,2044,0.3188285080104883,547872,0.058899182458852645,4935,0.42322878538913034,547872,0.05578519325821106,4935,0.4231268171517692,224,3.141578779153707e-05,1331,0.33325821878364503,224,3.0138191641040424e-05,1331,0.33325404674570286
instructions that write memory,585139170,3.705336462436431,70351,17.613686152860087,2736823244,17.318020574632992,70350,17.61467062944592,43102255,17.754051761054598,1043371,20.999422369011608,704257450,15.846229580819134,108872,17.075523337060904,955632810,19.832358409679262,111663,17.417489085115044,102093352,10.975583653269137,219705,18.84204261274952,107848721,10.981327287461097,219923,18.85619432795715,169813569,23.81619217780151,70338,17.611357319912866,169531894,22.80975317250246,70342,17.612138359268393
non-mov/cmov/push instructions that write memory,541082266,3.4263504345257347,16450,4.118564586353405,2688573082,17.012704073073284,16457,4.120606034808692,17155692,7.0665222449431075,226192,4.5524567430870455,269377729,6.061166037638197,33446,5.245682577075272,331568366,6.881076709603254,34173,5.330394620470849,88772781,9.543550729912766,78103,6.69816369305922,92029856,9.370625442594866,78186,6.703666327422133,90256004,12.658319056143398,16452,4.11928190490498,90256004,12.143539041546925,16456,4.120231850674145
instructions that read memory,5966465021,37.78205515478112,86758,21.721484886495364,10269831135,64.98525152614367,86766,21.72501082920405,69915345,28.798508431217574,1195311,24.057445099897958,1160466519,26.111216687772362,147767,23.175829018916517,1596998732,33.142699686951225,151788,23.676292355135026,325847589,35.030365848753405,305812,26.22663451214199,338539340,34.47061084962769,306281,26.260527798188658,146542120,20.55239350197304,86721,21.713362878389542,176975816,23.811299368024592,86732,21.715845215889033
non-mov/cmov/pop instructions that read memory,2707457681,17.14471048983592,33406,8.363815718645705,5931830929,37.53533235983666,33414,8.366405179990135,29316724,12.075717044515457,384936,7.747420283904624,578862636,13.024768464734223,80167,12.573420892076582,754389115,15.655924694591373,81785,12.757039886319856,312558171,33.601682040210605,170867,14.653664209338306,316706342,32.24754047399956,171000,14.66153712927103,90268592,12.66008451121804,33395,8.361501289466437,90268592,12.145232700280753,33400,8.36264850586512
